
PRCD_RECH_POM_ID_HAB_020 : 2981 row(s);
Action;Start;End;Duration;
Connection;14:36:56.316;14:36:59.497; 3181 ms;
Statment;14:36:59.497;14:36:59.551;   54 ms;
Execution;14:36:59.551;14:37:01.736; 2185 ms;
Total;14:36:56.316;14:37:01.736; 5420 ms;

PRCD_RECH_POM_ID_HAB_020;
N°;Name;Type;Size;Class;
1;ID_POM_STM;BIGINT;20;java.lang.Long;
2;CD_TYPE_IDNT;CHAR;10;java.lang.String;
3;ID_POM_SYST;VARCHAR;32;java.lang.String;
4;LB_POM_SI;VARCHAR;256;java.lang.String;
5;MIN_DATE;DATE;10;java.sql.Date;
6;MAX_DATE;DATE;10;java.sql.Date;
7;FL_CM;BYTEINT;4;java.lang.Integer;
8;FL_HORS_PRTF;INTEGER;11;java.lang.Integer;

PRCD_RECH_POM_ID_HAB_020 : 2972 row(s);
ID_POM_STM;CD_TYPE_IDNT;ID_POM_SYST;LB_POM_SI;MIN_DATE;MAX_DATE;FL_CM;FL_HORS_PRTF;
82291446;IDC                 ;07443288;PICO SARL;2010-01-01;9999-12-31;1;null;
82291446;PRM                 ;30000744328858;null;2010-01-01;9999-12-31;1;null;
82291445;IDC                 ;09309504;COMITE FETES, FOIRES ET SALONS;2010-01-01;9999-12-31;1;null;
82291445;PRM                 ;30000930950403;null;2010-01-01;9999-12-31;1;null;
82291436;PRM                 ;30000730810002;null;2010-01-01;9999-12-31;1;null;
82291436;IDC                 ;07308100;STE UNIV. AMIS DE L'ETUDIANTE;2010-01-01;9999-12-31;1;null;
82291434;PRM                 ;30000910062429;null;2010-01-01;9999-12-31;1;null;
82291434;IDC                 ;09100624;SA DES CAVES NOIRES..;2010-01-01;9999-12-31;1;null;
82291417;IDC                 ;09308017;MONSIEUR DURBAN JACQUES;2010-01-01;9999-12-31;1;null;
82291417;PRM                 ;30000930801789;null;2010-01-01;9999-12-31;1;null;
82291408;IDC                 ;01340484;CU    COMMUNAUTE DE COMMUNES DU SUD PEVELOIS _ THUMERIES;2010-01-01;9999-12-31;1;null;
82291408;PRM                 ;30000134048444;null;2010-01-01;9999-12-31;1;null;
82291407;PRM                 ;30000114077663;null;2010-01-01;9999-12-31;1;null;
82291407;IDC                 ;01140776;CU SEM VILLE RENOUVELLEE;2010-01-01;9999-12-31;1;null;
82291405;IDC                 ;04250058;(PROD-AUX) DAUBANGE - Consommation;2010-01-01;9999-12-31;1;null;
82291405;PRM                 ;30000425005840;null;2010-01-01;9999-12-31;1;null;
82291397;IDC                 ;01340396;CU SNC LAND _ DECHY;2010-01-01;9999-12-31;1;null;
82291397;PRM                 ;30000134039667;null;2010-01-01;9999-12-31;1;null;
82291381;PRM                 ;30000930390043;null;2010-01-01;9999-12-31;1;null;
82291381;IDC                 ;09303900;FRANCE CHAMPIGNON;2010-01-01;9999-12-31;1;null;
82291377;IDC                 ;09200717;MAIS RETRAITE  MERAL;2010-01-01;9999-12-31;1;null;
82291377;PRM                 ;30000920071761;null;2010-01-01;9999-12-31;1;null;
82291356;PRM                 ;30000730326906;null;2010-01-01;9999-12-31;1;null;
82291356;IDC                 ;07303269;OEUVRE HOSPITALITE FAMILIALE;2010-01-01;9999-12-31;1;null;
82291355;IDC                 ;07108824;SYNDICAT DES COPROPRIETAIRES;2010-01-01;9999-12-31;1;null;
82291355;PRM                 ;30000710882408;null;2010-01-01;9999-12-31;1;null;
